Trial,Target,A,W,MT,ID
1,"AUTO",165.000,80.000,919.400,1.614710
2,"VOL +",392.552,60.000,715.900,2.915048
3,"MUSIC",434.223,60.000,792.100,3.042129
4,"VOL +",434.223,60.000,748.000,3.042129
5,"MUSIC",434.223,60.000,763.900,3.042129
6,"−",259.964,125.000,580.100,1.622796
7,"VOL −",220.222,60.000,936.000,2.223534
8,"PHONE",332.340,60.000,629.100,2.709071
9,"MAP",179.861,60.000,684.400,1.999165
10,"SETTINGS",332.340,60.000,713.100,2.709071
11,"MAP",332.340,60.000,671.100,2.709071
12,"DEFROST",229.724,80.000,512.100,1.952909
13,"AUTO",233.345,80.000,584.000,1.969681
14,"A/C",330.000,80.000,645.900,2.357552
15,"AUTO",330.000,80.000,530.800,2.357552
16,"PHONE",103.938,60.000,545.300,1.450117
17,"+",187.091,125.000,451.800,1.320041
18,"VOL +",284.738,60.000,636.100,2.522466
19,"MAP",470.000,60.000,866.900,3.142958
20,"A/C",392.552,80.000,597.400,2.562400
21,"FAN",233.345,80.000,691.200,1.969681
22,"MUSIC",392.552,60.000,602.500,2.915048
23,"+",220.222,125.000,619.200,1.465595
24,"−",106.103,125.000,512.100,0.886610
25,"SETTINGS",220.222,60.000,710.800,2.223534
26,"+",259.964,125.000,523.500,1.622796
27,"+",0.000,125.000,522.500,0.000000
28,"VOL −",259.964,60.000,732.100,2.414876
29,"PHONE",332.340,60.000,547.400,2.709071
30,"MAP",179.861,60.000,649.900,1.999165
31,"MUSIC",179.861,60.000,623.800,1.999165
32,"DEFROST",103.938,80.000,439.500,1.201149
33,"AUTO",233.345,80.000,650.100,1.969681
34,"A/C",330.000,80.000,578.600,2.357552
35,"−",111.948,125.000,515.300,0.922645
36,"−",0.000,125.000,498.800,0.000000
37,"AUTO",218.052,80.000,537.700,1.897490
38,"MAP",103.938,60.000,624.700,1.450117
39,"−",284.738,125.000,506.300,1.712774
40,"MAP",284.738,60.000,587.100,2.522466
41,"MAP",0.000,60.000,633.600,0.000000
42,"−",284.738,125.000,530.200,1.712774
43,"MUSIC",259.964,60.000,643.300,2.414876
44,"PHONE",332.340,60.000,730.600,2.709071
45,"MUTE",470.000,60.000,660.900,3.142958
46,"A/C",103.938,80.000,687.800,1.201149
47,"+",218.052,125.000,551.900,1.456498
48,"PHONE",187.091,60.000,765.500,2.042011
49,"PHONE",0.000,60.000,707.500,0.000000
50,"A/C",392.552,80.000,615.700,2.562400
51,"BROWSER",334.854,60.000,674.800,2.718284
52,"DEFROST",392.552,80.000,566.000,2.562400
53,"VOL −",392.552,60.000,762.400,2.915048
54,"DEFROST",392.552,80.000,562.800,2.562400
55,"AUTO",233.345,80.000,632.100,1.969681
56,"+",111.948,125.000,515.300,0.922645
57,"+",0.000,125.000,483.100,0.000000
58,"VOL +",284.738,60.000,639.800,2.522466
59,"VOL −",179.861,60.000,586.700,1.999165
60,"VOL +",179.861,60.000,642.300,1.999165
61,"DEFROST",334.854,80.000,615.200,2.374531
62,"FAN",330.000,80.000,583.700,2.357552
63,"DEFROST",330.000,80.000,581.900,2.357552
64,"A/C",233.345,80.000,568.300,1.969681
65,"PHONE",392.552,60.000,799.100,2.915048
66,"FAN",229.724,80.000,626.300,1.952909
67,"AUTO",233.345,80.000,663.600,1.969681
68,"A/C",330.000,80.000,603.700,2.357552
69,"BROWSER",334.854,60.000,617.100,2.718284
70,"MUTE",434.223,60.000,578.200,3.042129
71,"FAN",334.854,80.000,602.600,2.374531
72,"A/C",233.345,80.000,531.300,1.969681
73,"VOL −",229.724,60.000,791.500,2.271642
74,"A/C",229.724,80.000,571.500,1.952909
75,"+",218.052,125.000,594.900,1.456498
76,"SETTINGS",259.964,60.000,596.900,2.414876
77,"SETTINGS",0.000,60.000,666.700,0.000000
78,"SETTINGS",0.000,60.000,657.900,0.000000
79,"MUTE",179.861,60.000,563.400,1.999165
80,"MUTE",0.000,60.000,464.300,0.000000
